route_name,stop_sequence,building_type,package_weight_kg,package_size
Route-015,0,business_storefront,4,small
Route-015,1,single_family_home,17,medium
Route-015,2,apartment_complex,2,small
Route-015,3,single_family_home,5,small
Route-015,4,business_storefront,3,small
Route-015,5,single_family_home,12,medium
Route-015,6,apartment_complex,1,small
Route-015,7,single_family_home,23,heavy
Route-015,8,business_storefront,4,small
Route-015,9,single_family_home,19,medium
Route-016,0,apartment_complex,3,small
Route-016,1,single_family_home,16,medium
Route-016,2,business_storefront,2,small
Route-016,3,single_family_home,5,small
Route-016,4,business_storefront,1,small
Route-016,5,single_family_home,11,medium
Route-016,6,apartment_complex,4,small
Route-016,7,medical_office,20,medium
Route-016,8,single_family_home,3,small
Route-016,9,business_storefront,2,small
Route-017,0,single_family_home,1,small
Route-017,1,business_storefront,14,medium
Route-017,2,apartment_complex,3,small
Route-017,3,single_family_home,5,small
Route-017,4,business_storefront,2,small
Route-017,5,single_family_home,18,medium
Route-017,6,apartment_complex,4,small
Route-017,7,single_family_home,1,small
Route-017,8,business_storefront,26,heavy
Route-017,9,single_family_home,3,small
Route-018,0,warehouse,75,oversized
Route-018,1,single_family_home,4,small
Route-018,2,business_storefront,1,small
Route-018,3,apartment_complex,12,medium
Route-018,4,single_family_home,3,small
Route-018,5,business_storefront,18,medium
Route-018,6,single_family_home,5,small
Route-018,7,apartment_complex,2,small
Route-018,8,single_family_home,4,small
Route-018,9,business_storefront,16,medium
Route-019,0,business_storefront,2,small
Route-019,1,single_family_home,11,medium
Route-019,2,apartment_complex,3,small
Route-019,3,single_family_home,5,small
Route-019,4,business_storefront,1,small
Route-019,5,single_family_home,19,medium
Route-019,6,apartment_complex,4,small
Route-019,7,school,2,small
Route-019,8,single_family_home,14,medium
Route-019,9,business_storefront,3,small
Route-020,0,apartment_complex,28,heavy
Route-020,1,single_family_home,4,small
Route-020,2,business_storefront,1,small
Route-020,3,single_family_home,17,medium
Route-020,4,business_storefront,3,small
Route-020,5,single_family_home,5,small
Route-020,6,apartment_complex,11,medium
Route-020,7,single_family_home,2,small
Route-020,8,business_storefront,14,medium
Route-020,9,single_family_home,4,small
Route-021,0,single_family_home,1,small
Route-021,1,business_storefront,19,medium
Route-021,2,apartment_complex,3,small
Route-021,3,single_family_home,5,small
Route-021,4,business_storefront,2,small
Route-021,5,single_family_home,12,medium
Route-021,6,apartment_complex,4,small
Route-021,7,single_family_home,1,small
Route-021,8,warehouse,51,oversized
Route-021,9,business_storefront,18,medium
Route-022,0,business_storefront,3,small
Route-022,1,single_family_home,14,medium
Route-022,2,apartment_complex,2,small
Route-022,3,single_family_home,5,small
Route-022,4,business_storefront,1,small
Route-022,5,single_family_home,20,medium
Route-022,6,apartment_complex,4,small
Route-022,7,single_family_home,2,small
Route-022,8,business_storefront,11,medium
Route-022,9,medical_office,30,heavy
Route-023,0,apartment_complex,3,small
Route-023,1,single_family_home,16,medium
Route-023,2,business_storefront,2,small
Route-023,3,single_family_home,5,small
Route-023,4,business_storefront,1,small
Route-023,5,single_family_home,13,medium
Route-023,6,apartment_complex,4,small
Route-023,7,single_family_home,2,small
Route-023,8,business_storefront,19,medium
Route-023,9,single_family_home,3,small
Route-024,0,single_family_home,2,small
Route-024,1,business_storefront,15,medium
Route-024,2,apartment_complex,3,small
Route-024,3,single_family_home,5,small
Route-024,4,business_storefront,1,small
Route-024,5,single_family_home,18,medium
Route-024,6,apartment_complex,4,small
Route-024,7,single_family_home,2,small
Route-024,8,business_storefront,12,medium
Route-024,9,school,25,heavy
Route-025,0,business_storefront,4,small
Route-025,1,single_family_home,17,medium
Route-025,2,apartment_complex,2,small
Route-025,3,warehouse,69,oversized
Route-025,4,single_family_home,5,small
Route-025,5,business_storefront,1,small
Route-025,6,single_family_home,14,medium
Route-025,7,apartment_complex,3,small
Route-025,8,single_family_home,2,small
Route-025,9,business_storefront,19,medium
Route-026,0,apartment_complex,3,small
Route-026,1,single_family_home,16,medium
Route-026,2,business_storefront,2,small
Route-026,3,single_family_home,5,small
Route-026,4,business_storefront,1,small
Route-026,5,single_family_home,11,medium
Route-026,6,apartment_complex,4,small
Route-026,7,single_family_home,2,small
Route-026,8,business_storefront,20,medium
Route-026,9,single_family_home,3,small
Route-027,0,single_family_home,2,small
Route-027,1,business_storefront,15,medium
Route-027,2,apartment_complex,3,small
Route-027,3,single_family_home,5,small
Route-027,4,business_storefront,1,small
Route-027,5,single_family_home,18,medium
Route-027,6,apartment_complex,4,small
Route-027,7,single_family_home,2,small
Route-027,8,business_storefront,12,medium
Route-027,9,single_family_home,3,small
Route-028,0,medical_office,23,heavy
Route-028,1,single_family_home,4,small
Route-028,2,business_storefront,1,small
Route-028,3,apartment_complex,17,medium
Route-028,4,single_family_home,3,small
Route-028,5,business_storefront,14,medium
Route-028,6,single_family_home,5,small
Route-028,7,apartment_complex,2,small
Route-028,8,single_family_home,4,small
Route-028,9,business_storefront,19,medium
Route-029,0,business_storefront,2,small
Route-029,1,single_family_home,11,medium
Route-029,2,apartment_complex,3,small
Route-029,3,single_family_home,5,small
Route-029,4,business_storefront,1,small
Route-029,5,single_family_home,20,medium
Route-029,6,apartment_complex,4,small
Route-029,7,single_family_home,2,small
Route-029,8,business_storefront,14,medium
Route-029,9,single_family_home,3,small
Route-030,0,apartment_complex,29,heavy
Route-030,1,single_family_home,4,small
Route-030,2,business_storefront,1,small
Route-030,3,single_family_home,17,medium
Route-030,4,business_storefront,3,small
Route-030,5,single_family_home,5,small
Route-030,6,apartment_complex,11,medium
Route-030,7,single_family_home,2,small
Route-030,8,business_storefront,14,medium
Route-030,9,warehouse,45,oversized
Route-031,0,single_family_home,1,small
Route-031,1,business_storefront,19,medium
Route-031,2,apartment_complex,3,small
Route-031,3,single_family_home,5,small
Route-031,4,business_storefront,2,small
Route-031,5,single_family_home,12,medium
Route-031,6,apartment_complex,4,small
Route-031,7,single_family_home,1,small
Route-031,8,business_storefront,18,medium
Route-031,9,single_family_home,3,small
Route-032,0,business_storefront,3,small
Route-032,1,single_family_home,14,medium
Route-032,2,apartment_complex,2,small
Route-032,3,single_family_home,5,small
Route-032,4,business_storefront,1,small
Route-032,5,single_family_home,20,medium
Route-032,6,apartment_complex,4,small
Route-032,7,single_family_home,2,small
Route-032,8,business_storefront,11,medium
Route-032,9,single_family_home,3,small
Route-033,0,apartment_complex,3,small
Route-033,1,single_family_home,16,medium
Route-033,2,business_storefront,2,small
Route-033,3,single_family_home,5,small
Route-033,4,business_storefront,1,small
Route-033,5,single_family_home,13,medium
Route-033,6,apartment_complex,4,small
Route-033,7,school,2,small
Route-033,8,business_storefront,19,medium
Route-033,9,single_family_home,3,small
Route-034,0,single_family_home,2,small
Route-034,1,business_storefront,15,medium
Route-034,2,apartment_complex,3,small
Route-034,3,single_family_home,5,small
Route-034,4,business_storefront,1,small
Route-034,5,single_family_home,18,medium
Route-034,6,apartment_complex,4,small
Route-034,7,single_family_home,2,small
Route-034,8,business_storefront,12,medium
Route-034,9,single_family_home,3,small
Route-035,0,warehouse,66,oversized
Route-035,1,single_family_home,4,small
Route-035,2,business_storefront,1,small
Route-035,3,apartment_complex,17,medium
Route-035,4,single_family_home,3,small
Route-035,5,business_storefront,14,medium
Route-035,6,single_family_home,5,small
Route-035,7,apartment_complex,2,small
Route-035,8,single_family_home,4,small
Route-035,9,business_storefront,19,medium
Route-036,0,business_storefront,2,small
Route-036,1,single_family_home,11,medium
Route-036,2,apartment_complex,3,small
Route-036,3,single_family_home,5,small
Route-036,4,business_storefront,1,small
Route-036,5,single_family_home,20,medium
Route-036,6,apartment_complex,4,small
Route-036,7,single_family_home,2,small
Route-036,8,business_storefront,14,medium
Route-036,9,single_family_home,3,small
Route-037,0,apartment_complex,30,heavy
Route-037,1,single_family_home,4,small
Route-037,2,business_storefront,1,small
Route-037,3,single_family_home,17,medium
Route-037,4,business_storefront,3,small
Route-037,5,single_family_home,5,small
Route-037,6,apartment_complex,11,medium
Route-037,7,single_family_home,2,small
Route-037,8,business_storefront,14,medium
Route-037,9,single_family_home,4,small
Route-038,0,single_family_home,1,small
Route-038,1,business_storefront,19,medium
Route-038,2,apartment_complex,3,small
Route-038,3,single_family_home,5,small
Route-038,4,business_storefront,2,small
Route-038,5,single_family_home,12,medium
Route-038,6,apartment_complex,4,small
Route-038,7,single_family_home,1,small
Route-038,8,business_storefront,18,medium
Route-038,9,school,3,small
Route-039,0,business_storefront,3,small
Route-039,1,single_family_home,14,medium
Route-039,2,apartment_complex,2,small
Route-039,3,single_family_home,5,small
Route-039,4,business_storefront,1,small
Route-039,5,single_family_home,20,medium
Route-039,6,apartment_complex,4,small
Route-039,7,single_family_home,2,small
Route-039,8,business_storefront,11,medium
Route-039,9,single_family_home,3,small
Route-040,0,apartment_complex,3,small
Route-040,1,single_family_home,16,medium
Route-040,2,business_storefront,2,small
Route-040,3,single_family_home,5,small
Route-040,4,business_storefront,1,small
Route-040,5,single_family_home,13,medium
Route-040,6,apartment_complex,4,small
Route-040,7,single_family_home,2,small
Route-040,8,business_storefront,19,medium
Route-040,9,single_family_home,3,small
Route-041,0,single_family_home,2,small
Route-041,1,business_storefront,15,medium
Route-041,2,apartment_complex,3,small
Route-041,3,single_family_home,5,small
Route-041,4,business_storefront,1,small
Route-041,5,single_family_home,18,medium
Route-041,6,apartment_complex,4,small
Route-041,7,single_family_home,2,small
Route-041,8,business_storefront,12,medium
Route-041,9,single_family_home,3,small
Route-042,0,medical_office,4,small
Route-042,1,single_family_home,17,medium
Route-042,2,business_storefront,2,small
Route-042,3,apartment_complex,5,small
Route-042,4,single_family_home,1,small
Route-042,5,business_storefront,14,medium
Route-042,6,single_family_home,3,small
Route-042,7,apartment_complex,2,small
Route-042,8,single_family_home,19,medium
Route-042,9,warehouse,42,oversized
Route-043,0,business_storefront,2,small
Route-043,1,single_family_home,11,medium
Route-043,2,apartment_complex,3,small
Route-043,3,single_family_home,5,small
Route-043,4,business_storefront,1,small
Route-043,5,single_family_home,20,medium
Route-043,6,apartment_complex,4,small
Route-043,7,single_family_home,2,small
Route-043,8,business_storefront,14,medium
Route-043,9,single_family_home,3,small
Route-044,0,apartment_complex,33,heavy
Route-044,1,single_family_home,4,small
Route-044,2,business_storefront,1,small
Route-044,3,single_family_home,17,medium
Route-044,4,business_storefront,3,small
Route-044,5,single_family_home,5,small
Route-044,6,apartment_complex,11,medium
Route-044,7,single_family_home,2,small
Route-044,8,business_storefront,14,medium
Route-044,9,single_family_home,4,small
Route-045,0,single_family_home,1,small
Route-045,1,business_storefront,19,medium
Route-045,2,apartment_complex,3,small
Route-045,3,single_family_home,5,small
Route-045,4,business_storefront,2,small
Route-045,5,single_family_home,12,medium
Route-045,6,apartment_complex,4,small
Route-045,7,single_family_home,1,small
Route-045,8,business_storefront,18,medium
Route-045,9,single_family_home,3,small
Route-046,0,business_storefront,3,small
Route-046,1,single_family_home,14,medium
Route-046,2,apartment_complex,2,small
Route-046,3,single_family_home,5,small
Route-046,4,business_storefront,1,small
Route-046,5,single_family_home,20,medium
Route-046,6,apartment_complex,4,small
Route-046,7,single_family_home,2,small
Route-046,8,business_storefront,11,medium
Route-046,9,single_family_home,3,small
Route-047,0,apartment_complex,3,small
Route-047,1,single_family_home,16,medium
Route-047,2,business_storefront,2,small
Route-047,3,single_family_home,5,small
Route-047,4,business_storefront,1,small
Route-047,5,single_family_home,13,medium
Route-047,6,apartment_complex,4,small
Route-047,7,single_family_home,2,small
Route-047,8,business_storefront,19,medium
Route-047,9,single_family_home,3,small
Route-048,0,single_family_home,2,small
Route-048,1,business_storefront,15,medium
Route-048,2,apartment_complex,3,small
Route-048,3,single_family_home,5,small
Route-048,4,business_storefront,1,small
Route-048,5,single_family_home,18,medium
Route-048,6,apartment_complex,4,small
Route-048,7,warehouse,78,oversized
Route-048,8,business_storefront,12,medium
Route-048,9,single_family_home,3,small
Route-049,0,school,4,small
Route-049,1,single_family_home,17,medium
Route-049,2,business_storefront,2,small
Route-049,3,apartment_complex,5,small
Route-049,4,single_family_home,1,small
Route-049,5,business_storefront,14,medium
Route-049,6,single_family_home,3,small
Route-049,7,apartment_complex,2,small
Route-049,8,single_family_home,19,medium
Route-049,9,business_storefront,4,small
Route-050,0,business_storefront,2,small
Route-050,1,single_family_home,11,medium
Route-050,2,apartment_complex,3,small
Route-050,3,single_family_home,5,small
Route-050,4,business_storefront,1,small
Route-050,5,single_family_home,20,medium
Route-050,6,apartment_complex,4,small
Route-050,7,single_family_home,2,small
Route-050,8,business_storefront,14,medium
Route-050,9,single_family_home,3,small
Route-051,0,apartment_complex,21,heavy
Route-051,1,single_family_home,4,small
Route-051,2,business_storefront,1,small
Route-051,3,single_family_home,17,medium
Route-051,4,business_storefront,3,small
Route-051,5,single_family_home,5,small
Route-051,6,apartment_complex,11,medium
Route-051,7,single_family_home,2,small
Route-051,8,business_storefront,14,medium
Route-051,9,single_family_home,4,small
Route-052,0,single_family_home,1,small
Route-052,1,business_storefront,19,medium
Route-052,2,apartment_complex,3,small
Route-052,3,single_family_home,5,small
Route-052,4,business_storefront,2,small
Route-052,5,single_family_home,12,medium
Route-052,6,apartment_complex,4,small
Route-052,7,single_family_home,1,small
Route-052,8,business_storefront,18,medium
Route-052,9,single_family_home,3,small
Route-053,0,business_storefront,3,small
Route-053,1,single_family_home,14,medium
Route-053,2,apartment_complex,2,small
Route-053,3,single_family_home,5,small
Route-053,4,business_storefront,1,small
Route-053,5,single_family_home,20,medium
Route-053,6,apartment_complex,4,small
Route-053,7,single_family_home,2,small
Route-053,8,business_storefront,11,medium
Route-053,9,single_family_home,3,small
Route-054,0,apartment_complex,3,small
Route-054,1,single_family_home,16,medium
Route-054,2,business_storefront,2,small
Route-054,3,single_family_home,5,small
Route-054,4,business_storefront,1,small
Route-054,5,single_family_home,13,medium
Route-054,6,apartment_complex,4,small
Route-054,7,single_family_home,2,small
Route-054,8,business_storefront,19,medium
Route-054,9,single_family_home,3,small
Route-055,0,single_family_home,2,small
Route-055,1,business_storefront,15,medium
Route-055,2,apartment_complex,3,small
Route-055,3,single_family_home,5,small
Route-055,4,business_storefront,1,small
Route-055,5,single_family_home,18,medium
Route-055,6,apartment_complex,4,small
Route-055,7,single_family_home,2,small
Route-055,8,business_storefront,12,medium
Route-055,9,single_family_home,3,small
Route-056,0,medical_office,4,small
Route-056,1,single_family_home,17,medium
Route-056,2,business_storefront,2,small
Route-056,3,apartment_complex,5,small
Route-056,4,single_family_home,1,small
Route-056,5,business_storefront,14,medium
Route-056,6,single_family_home,3,small
Route-056,7,apartment_complex,2,small
Route-056,8,single_family_home,19,medium
Route-056,9,business_storefront,4,small
Route-057,0,business_storefront,2,small
Route-057,1,single_family_home,11,medium
Route-057,2,apartment_complex,3,small
Route-057,3,single_family_home,5,small
Route-057,4,business_storefront,1,small
Route-057,5,single_family_home,20,medium
Route-057,6,apartment_complex,4,small
Route-057,7,single_family_home,2,small
Route-057,8,business_storefront,14,medium
Route-057,9,single_family_home,3,small
Route-058,0,apartment_complex,25,heavy
Route-058,1,single_family_home,4,small
Route-058,2,business_storefront,1,small
Route-058,3,single_family_home,17,medium
Route-058,4,business_storefront,3,small
Route-058,5,single_family_home,5,small
Route-058,6,apartment_complex,11,medium
Route-058,7,single_family_home,2,small
Route-058,8,business_storefront,14,medium
Route-058,9,single_family_home,4,small
Route-059,0,single_family_home,1,small
Route-059,1,business_storefront,19,medium
Route-059,2,apartment_complex,3,small
Route-059,3,single_family_home,5,small
Route-059,4,business_storefront,2,small
Route-059,5,single_family_home,12,medium
Route-059,6,apartment_complex,4,small
Route-059,7,single_family_home,1,small
Route-059,8,business_storefront,18,medium
Route-059,9,single_family_home,3,small
Route-060,0,business_storefront,3,small
Route-060,1,single_family_home,14,medium
Route-060,2,apartment_complex,2,small
Route-060,3,single_family_home,5,small
Route-060,4,business_storefront,1,small
Route-060,5,single_family_home,20,medium
Route-060,6,apartment_complex,4,small
Route-060,7,single_family_home,2,small
Route-060,8,business_storefront,11,medium
Route-060,9,single_family_home,3,small
Route-061,0,apartment_complex,3,small
Route-061,1,single_family_home,16,medium
Route-061,2,business_storefront,2,small
Route-061,3,single_family_home,5,small
Route-061,4,business_storefront,1,small
Route-061,5,single_family_home,13,medium
Route-061,6,apartment_complex,4,small
Route-061,7,single_family_home,2,small
Route-061,8,business_storefront,19,medium
Route-061,9,single_family_home,3,small
Route-062,0,single_family_home,2,small
Route-062,1,business_storefront,15,medium
Route-062,2,apartment_complex,3,small
Route-062,3,single_family_home,5,small
Route-062,4,business_storefront,1,small
Route-062,5,single_family_home,18,medium
Route-062,6,apartment_complex,4,small
Route-062,7,single_family_home,2,small
Route-062,8,business_storefront,12,medium
Route-062,9,single_family_home,3,small
Route-063,0,school,4,small
Route-063,1,single_family_home,17,medium
Route-063,2,business_storefront,2,small
Route-063,3,apartment_complex,5,small
Route-063,4,single_family_home,1,small
Route-063,5,business_storefront,14,medium
Route-063,6,single_family_home,3,small
Route-063,7,apartment_complex,2,small
Route-063,8,single_family_home,19,medium
Route-063,9,business_storefront,4,small
Route-064,0,business_storefront,2,small
Route-064,1,single_family_home,11,medium
Route-064,2,apartment_complex,3,small
Route-064,3,single_family_home,5,small
Route-064,4,business_storefront,1,small
Route-064,5,single_family_home,20,medium
Route-064,6,apartment_complex,4,small
Route-064,7,single_family_home,2,small
Route-064,8,business_storefront,14,medium
Route-064,9,single_family_home,3,small
Route-065,0,apartment_complex,22,heavy
Route-065,1,single_family_home,4,small
Route-065,2,business_storefront,1,small
Route-065,3,single_family_home,17,medium
Route-065,4,business_storefront,3,small
Route-065,5,single_family_home,5,small
Route-065,6,apartment_complex,11,medium
Route-065,7,single_family_home,2,small
Route-065,8,business_storefront,14,medium
Route-065,9,single_family_home,4,small
Route-066,0,single_family_home,1,small
Route-066,1,business_storefront,19,medium
Route-066,2,apartment_complex,3,small
Route-066,3,single_family_home,5,small
Route-066,4,business_storefront,2,small
Route-066,5,single_family_home,12,medium
Route-066,6,apartment_complex,4,small
Route-066,7,single_family_home,1,small
Route-066,8,business_storefront,18,medium
Route-066,9,single_family_home,3,small
Route-067,0,business_storefront,3,small
Route-067,1,single_family_home,14,medium
Route-067,2,apartment_complex,2,small
Route-067,3,single_family_home,5,small
Route-067,4,business_storefront,1,small
Route-067,5,single_family_home,20,medium
Route-067,6,apartment_complex,4,small
Route-067,7,single_family_home,2,small
Route-067,8,business_storefront,11,medium
Route-067,9,single_family_home,3,small
Route-068,0,apartment_complex,3,small
Route-068,1,single_family_home,16,medium
Route-068,2,business_storefront,2,small
Route-068,3,single_family_home,5,small
Route-068,4,business_storefront,1,small
Route-068,5,single_family_home,13,medium
Route-068,6,apartment_complex,4,small
Route-068,7,single_family_home,2,small
Route-068,8,business_storefront,19,medium
Route-068,9,single_family_home,3,small
Route-069,0,single_family_home,2,small
Route-069,1,business_storefront,15,medium
Route-069,2,apartment_complex,3,small
Route-069,3,single_family_home,5,small
Route-069,4,business_storefront,1,small
Route-069,5,single_family_home,18,medium
Route-069,6,apartment_complex,4,small
Route-069,7,single_family_home,2,small
Route-069,8,business_storefront,12,medium
Route-069,9,single_family_home,3,small
Route-070,0,warehouse,48,oversized
Route-070,1,single_family_home,17,medium
Route-070,2,business_storefront,2,small
Route-070,3,apartment_complex,5,small
Route-070,4,single_family_home,1,small
Route-070,5,business_storefront,14,medium
Route-070,6,single_family_home,3,small
Route-070,7,apartment_complex,2,small
Route-070,8,single_family_home,19,medium
Route-070,9,business_storefront,4,small
Route-071,0,business_storefront,2,small
Route-071,1,single_family_home,11,medium
Route-071,2,apartment_complex,3,small
Route-071,3,single_family_home,5,small
Route-071,4,business_storefront,1,small
Route-071,5,single_family_home,20,medium
Route-071,6,apartment_complex,4,small
Route-071,7,single_family_home,2,small
Route-071,8,business_storefront,14,medium
Route-071,9,single_family_home,3,small
Route-072,0,apartment_complex,36,heavy
Route-072,1,single_family_home,4,small
Route-072,2,business_storefront,1,small
Route-072,3,single_family_home,17,medium
Route-072,4,business_storefront,3,small
Route-072,5,single_family_home,5,small
Route-072,6,apartment_complex,11,medium
Route-072,7,single_family_home,2,small
Route-072,8,business_storefront,14,medium
Route-072,9,single_family_home,4,small
Route-073,0,single_family_home,1,small
Route-073,1,business_storefront,19,medium
Route-073,2,apartment_complex,3,small
Route-073,3,single_family_home,5,small
Route-073,4,business_storefront,2,small
Route-073,5,single_family_home,12,medium
Route-073,6,apartment_complex,4,small
Route-073,7,single_family_home,1,small
Route-073,8,business_storefront,18,medium
Route-073,9,single_family_home,3,small
Route-074,0,business_storefront,3,small
Route-074,1,single_family_home,14,medium
Route-074,2,apartment_complex,2,small
Route-074,3,single_family_home,5,small
Route-074,4,business_storefront,1,small
Route-074,5,single_family_home,20,medium
Route-074,6,apartment_complex,4,small
Route-074,7,single_family_home,2,small
Route-074,8,business_storefront,11,medium
Route-074,9,single_family_home,3,small
Route-075,0,apartment_complex,3,small
Route-075,1,single_family_home,16,medium
Route-075,2,business_storefront,2,small
Route-075,3,single_family_home,5,small
Route-075,4,business_storefront,1,small
Route-075,5,single_family_home,13,medium
Route-075,6,apartment_complex,4,small
Route-075,7,single_family_home,2,small
Route-075,8,business_storefront,19,medium
Route-075,9,single_family_home,3,small
Route-076,0,single_family_home,2,small
Route-076,1,business_storefront,15,medium
Route-076,2,apartment_complex,3,small
Route-076,3,single_family_home,5,small
Route-076,4,business_storefront,1,small
Route-076,5,single_family_home,18,medium
Route-076,6,apartment_complex,4,small
Route-076,7,single_family_home,2,small
Route-076,8,business_storefront,12,medium
Route-076,9,single_family_home,3,small
Route-077,0,medical_office,4,small
Route-077,1,single_family_home,17,medium
Route-077,2,business_storefront,2,small
Route-077,3,apartment_complex,5,small
Route-077,4,single_family_home,1,small
Route-077,5,business_storefront,14,medium
Route-077,6,single_family_home,3,small
Route-077,7,apartment_complex,2,small
Route-077,8,single_family_home,19,medium
Route-077,9,business_storefront,4,small
Route-078,0,business_storefront,2,small
Route-078,1,single_family_home,11,medium
Route-078,2,apartment_complex,3,small
Route-078,3,single_family_home,5,small
Route-078,4,business_storefront,1,small
Route-078,5,single_family_home,20,medium
Route-078,6,apartment_complex,4,small
Route-078,7,single_family_home,2,small
Route-078,8,business_storefront,14,medium
Route-078,9,single_family_home,3,small
Route-079,0,apartment_complex,28,heavy
Route-079,1,single_family_home,4,small
Route-079,2,business_storefront,1,small
Route-079,3,single_family_home,17,medium
Route-079,4,business_storefront,3,small
Route-079,5,single_family_home,5,small
Route-079,6,apartment_complex,11,medium
Route-079,7,single_family_home,2,small
Route-079,8,business_storefront,14,medium
Route-079,9,single_family_home,4,small
Route-080,0,single_family_home,1,small
Route-080,1,business_storefront,19,medium
Route-080,2,apartment_complex,3,small
Route-080,3,single_family_home,5,small
Route-080,4,business_storefront,2,small
Route-080,5,single_family_home,12,medium
