route_name,stop_sequence,latitude,longitude
Route-026,5,49.344,6.159
Route-026,6,49.698,5.826
Route-026,7,50.852,4.329
Route-026,8,48.849,2.313
Route-026,9,48.855,2.303
Route-027,0,49.614,6.122
Route-027,1,49.619,6.136
Route-027,2,49.502,5.965
Route-027,3,49.496,5.997
Route-027,4,49.103,6.177
Route-027,5,49.365,6.185
Route-027,6,49.701,5.822
Route-027,7,50.853,4.349
Route-027,8,48.874,2.349
Route-027,9,48.866,2.391
Route-028,0,49.627,6.123
Route-028,1,49.597,6.156
Route-028,2,49.508,5.979
Route-028,3,49.498,5.994
Route-028,4,49.126,6.175
Route-028,5,49.357,6.184
Route-028,6,49.701,5.822
Route-028,7,50.852,4.373
Route-028,8,48.842,2.363
Route-028,9,48.887,2.380
Route-029,0,49.608,6.098
Route-029,1,49.595,6.129
Route-029,2,49.486,5.972
Route-029,3,49.503,5.991
Route-029,4,49.103,6.177
Route-029,5,49.365,6.163
Route-029,6,49.672,5.813
Route-029,7,50.849,4.356
Route-029,8,48.840,2.327
Route-029,9,48.879,2.350
Route-030,0,49.618,6.152
Route-030,1,49.616,6.155
Route-030,2,49.486,5.972
Route-030,3,49.498,5.975
Route-030,4,49.128,6.176
Route-030,5,49.370,6.182
Route-030,6,49.693,5.797
Route-030,7,50.853,4.349
Route-030,8,48.830,2.332
Route-030,9,48.891,2.368
Route-031,0,49.619,6.133
Route-031,1,49.603,6.144
Route-031,2,49.487,5.971
Route-031,3,49.508,5.979
Route-031,4,49.116,6.160
Route-031,5,49.347,6.189
Route-031,6,49.675,5.821
Route-031,7,50.842,4.333
Route-031,8,48.873,2.341
Route-031,9,48.854,2.332
Route-032,0,49.623,6.137
Route-032,1,49.616,6.155
Route-032,2,49.497,5.976
Route-032,3,49.498,5.974
Route-032,4,49.126,6.158
Route-032,5,49.361,6.182
Route-032,6,49.669,5.824
Route-032,7,50.848,4.334
Route-032,8,48.836,2.340
Route-032,9,48.844,2.304
Route-033,0,49.606,6.131
Route-033,1,49.626,6.130
Route-033,2,49.492,5.993
Route-033,3,49.489,5.988
Route-033,4,49.118,6.195
Route-033,5,49.357,6.184
Route-033,6,49.682,5.832
Route-033,7,50.842,4.356
Route-033,8,48.846,2.368
Route-033,9,48.862,2.344
Route-034,0,49.606,6.140
Route-034,1,49.593,6.150
Route-034,2,49.492,5.993
Route-034,3,49.505,5.972
Route-034,4,49.137,6.174
Route-034,5,49.369,6.174
Route-034,6,49.700,5.818
Route-034,7,50.834,4.362
Route-034,8,48.885,2.328
Route-034,9,48.849,2.306
Route-035,0,49.619,6.138
Route-035,1,49.613,6.099
Route-035,2,49.498,5.975
Route-035,3,49.502,5.965
Route-035,4,49.118,6.195
Route-035,5,49.345,6.168
Route-035,6,49.677,5.794
Route-035,7,50.846,4.338
Route-035,8,48.866,2.391
Route-035,9,48.863,2.385
Route-036,0,49.627,6.123
Route-036,1,49.623,6.151
Route-036,2,49.498,5.994
Route-036,3,49.497,5.976
Route-036,4,49.126,6.169
Route-036,5,49.369,6.174
Route-036,6,49.697,5.810
Route-036,7,50.849,4.337
Route-036,8,48.831,2.338
Route-036,9,48.884,2.321
Route-037,0,49.632,6.143
Route-037,1,49.594,6.145
Route-037,2,49.500,5.993
Route-037,3,49.504,5.984
Route-037,4,49.118,6.195
Route-037,5,49.370,6.182
Route-037,6,49.686,5.804
Route-037,7,50.861,4.340
Route-037,8,48.890,2.350
Route-037,9,48.846,2.368
Route-038,0,49.616,6.155
Route-038,1,49.601,6.118
Route-038,2,49.490,5.977
Route-038,3,49.495,5.973
Route-038,4,49.114,6.192
Route-038,5,49.363,6.179
Route-038,6,49.678,5.817
Route-038,7,50.847,4.369
Route-038,8,48.850,2.400
Route-038,9,48.846,2.332
Route-039,0,49.615,6.147
Route-039,1,49.632,6.143
Route-039,2,49.505,5.995
Route-039,3,49.500,5.993
Route-039,4,49.127,6.162
Route-039,5,49.365,6.167
Route-039,6,49.701,5.822
Route-039,7,50.854,4.343
Route-039,8,48.863,2.405
Route-039,9,48.890,2.350
Route-040,0,49.603,6.145
Route-040,1,49.611,6.133
Route-040,2,49.505,5.995
Route-040,3,49.502,5.965
Route-040,4,49.123,6.158
Route-040,5,49.370,6.182
Route-040,6,49.688,5.842
Route-040,7,50.847,4.369
Route-040,8,48.849,2.354
Route-040,9,48.831,2.338
Route-041,0,49.605,6.126
Route-041,1,49.603,6.152
Route-041,2,49.495,5.973
Route-041,3,49.487,5.975
Route-041,4,49.123,6.185
Route-041,5,49.371,6.181
Route-041,6,49.670,5.819
Route-041,7,50.846,4.365
Route-041,8,48.876,2.378
Route-041,9,48.861,2.309
Route-042,0,49.619,6.136
Route-042,1,49.596,6.115
Route-042,2,49.496,5.966
Route-042,3,49.492,5.993
Route-042,4,49.126,6.175
Route-042,5,49.365,6.185
Route-042,6,49.685,5.841
Route-042,7,50.857,4.333
Route-042,8,48.871,2.323
Route-042,9,48.883,2.329
Route-043,0,49.595,6.148
Route-043,1,49.606,6.151
Route-043,2,49.504,5.981
Route-043,3,49.499,5.990
Route-043,4,49.116,6.160
Route-043,5,49.360,6.152
Route-043,6,49.688,5.842
Route-043,7,50.857,4.357
Route-043,8,48.871,2.323
Route-043,9,48.869,2.335
Route-044,0,49.611,6.111
Route-044,1,49.607,6.126
Route-044,2,49.502,5.971
Route-044,3,49.490,5.977
Route-044,4,49.130,6.184
Route-044,5,49.344,6.159
Route-044,6,49.684,5.839
Route-044,7,50.859,4.348
Route-044,8,48.884,2.378
Route-044,9,48.849,2.313
Route-045,0,49.602,6.109
Route-045,1,49.600,6.137
Route-045,2,49.498,5.994
Route-045,3,49.487,5.973
Route-045,4,49.132,6.194
Route-045,5,49.369,6.186
Route-045,6,49.672,5.817
Route-045,7,50.859,4.338
Route-045,8,48.890,2.353
Route-045,9,48.828,2.341
Route-046,0,49.621,6.129
Route-046,1,49.613,6.099
Route-046,2,49.495,5.975
Route-046,3,49.500,5.993
Route-046,4,49.115,6.150
Route-046,5,49.365,6.185
Route-046,6,49.674,5.819
Route-046,7,50.857,4.333
Route-046,8,48.847,2.383
Route-046,9,48.824,2.368
Route-047,0,49.630,6.147
Route-047,1,49.608,6.119
Route-047,2,49.496,5.966
Route-047,3,49.506,5.976
Route-047,4,49.126,6.181
Route-047,5,49.357,6.184
Route-047,6,49.674,5.835
Route-047,7,50.830,4.344
Route-047,8,48.830,2.332
Route-047,9,48.846,2.345
Route-048,0,49.626,6.151
Route-048,1,49.601,6.151
Route-048,2,49.494,5.963
Route-048,3,49.487,5.973
Route-048,4,49.130,6.160
Route-048,5,49.371,6.181
Route-048,6,49.672,5.817
Route-048,7,50.842,4.333
Route-048,8,48.887,2.380
Route-048,9,48.855,2.405
Route-049,0,49.627,6.123
Route-049,1,49.616,6.109
Route-049,2,49.497,5.976
Route-049,3,49.498,5.994
Route-049,4,49.137,6.174
Route-049,5,49.344,6.159
Route-049,6,49.698,5.826
Route-049,7,50.859,4.338
Route-049,8,48.863,2.385
Route-049,9,48.873,2.335
Route-050,0,49.606,6.118
Route-050,1,49.610,6.107
Route-050,2,49.497,5.966
Route-050,3,49.508,5.979
Route-050,4,49.118,6.150
Route-050,5,49.352,6.190
Route-050,6,49.672,5.817
Route-050,7,50.857,4.372
Route-050,8,48.873,2.345
Route-050,9,48.871,2.323
Route-051,0,49.618,6.125
Route-051,1,49.607,6.163
Route-051,2,49.494,5.963
Route-051,3,49.497,5.966
Route-051,4,49.114,6.172
Route-051,5,49.355,6.159
Route-051,6,49.693,5.801
Route-051,7,50.856,4.350
Route-051,8,48.853,2.311
Route-051,9,48.867,2.361
Route-052,0,49.623,6.151
Route-052,1,49.627,6.153
Route-052,2,49.486,5.972
Route-052,3,49.489,5.988
Route-052,4,49.128,6.166
Route-052,5,49.361,6.182
Route-052,6,49.674,5.826
Route-052,7,50.857,4.333
Route-052,8,48.880,2.331
Route-052,9,48.863,2.389
Route-053,0,49.598,6.126
Route-053,1,49.621,6.162
Route-053,2,49.496,5.966
Route-053,3,49.499,5.990
Route-053,4,49.137,6.174
Route-053,5,49.373,6.170
Route-053,6,49.679,5.804
Route-053,7,50.831,4.350
Route-053,8,48.883,2.340
Route-053,9,48.882,2.386
Route-054,0,49.593,6.135
Route-054,1,49.630,6.119
Route-054,2,49.495,5.973
Route-054,3,49.505,5.995
Route-054,4,49.114,6.172
Route-054,5,49.367,6.173
Route-054,6,49.670,5.833
Route-054,7,50.839,4.338
Route-054,8,48.886,2.373
Route-054,9,48.872,2.387
Route-055,0,49.614,6.123
Route-055,1,49.606,6.140
Route-055,2,49.505,5.995
Route-055,3,49.487,5.975
Route-055,4,49.103,6.167
Route-055,5,49.354,6.147
Route-055,6,49.684,5.824
Route-055,7,50.852,4.373
Route-055,8,48.890,2.353
Route-055,9,48.865,2.347
Route-056,0,49.593,6.150
Route-056,1,49.621,6.129
Route-056,2,49.490,5.977
Route-056,3,49.487,5.974
Route-056,4,49.118,6.183
Route-056,5,49.365,6.163
Route-056,6,49.684,5.824
Route-056,7,50.853,4.349
Route-056,8,48.828,2.341
Route-056,9,48.849,2.306
Route-057,0,49.603,6.144
Route-057,1,49.600,6.137
Route-057,2,49.496,5.997
Route-057,3,49.488,5.978
Route-057,4,49.126,6.169
Route-057,5,49.367,6.173
Route-057,6,49.684,5.839
Route-057,7,50.837,4.352
Route-057,8,48.846,2.368
Route-057,9,48.852,2.405
Route-058,0,49.598,6.126
Route-058,1,49.591,6.120
Route-058,2,49.504,5.981
Route-058,3,49.498,5.975
Route-058,4,49.127,6.162
Route-058,5,49.347,6.189
Route-058,6,49.673,5.818
Route-058,7,50.852,4.373
Route-058,8,48.873,2.345
Route-058,9,48.828,2.341
Route-059,0,49.605,6.126
Route-059,1,49.607,6.114
Route-059,2,49.506,5.976
Route-059,3,49.509,5.976
Route-059,4,49.109,6.192
Route-059,5,49.357,6.149
Route-059,6,49.686,5.816
Route-059,7,50.853,4.349
Route-059,8,48.865,2.307
Route-059,9,48.844,2.304
Route-060,0,49.596,6.115
Route-060,1,49.608,6.119
Route-060,2,49.504,5.984
Route-060,3,49.507,5.981
Route-060,4,49.130,6.165
Route-060,5,49.357,6.149
Route-060,6,49.682,5.832
Route-060,7,50.857,4.357
Route-060,8,48.852,2.333
Route-060,9,48.830,2.332
Route-061,0,49.605,6.126
Route-061,1,49.594,6.144
Route-061,2,49.504,5.984
Route-061,3,49.497,5.984
Route-061,4,49.123,6.185
Route-061,5,49.353,6.178
Route-061,6,49.684,5.823
Route-061,7,50.845,4.357
Route-061,8,48.850,2.309
Route-061,9,48.836,2.340
Route-062,0,49.600,6.137
Route-062,1,49.613,6.148
Route-062,2,49.508,5.979
Route-062,3,49.504,5.981
Route-062,4,49.109,6.168
Route-062,5,49.357,6.149
Route-062,6,49.683,5.795
Route-062,7,50.831,4.350
Route-062,8,48.883,2.340
Route-062,9,48.846,2.368
Route-063,0,49.627,6.123
Route-063,1,49.593,6.120
Route-063,2,49.495,5.973
Route-063,3,49.489,5.976
Route-063,4,49.126,6.175
Route-063,5,49.370,6.164
Route-063,6,49.669,5.824
Route-063,7,50.846,4.365
Route-063,8,48.876,2.378
Route-063,9,48.847,2.354
Route-064,0,49.607,6.126
Route-064,1,49.618,6.125
Route-064,2,49.507,5.981
Route-064,3,49.489,5.989
Route-064,4,49.104,6.164
Route-064,5,49.340,6.160
Route-064,6,49.691,5.838
Route-064,7,50.855,4.330
Route-064,8,48.871,2.401
Route-064,9,48.855,2.405
Route-065,0,49.618,6.127
Route-065,1,49.593,6.120
Route-065,2,49.503,5.985
Route-065,3,49.487,5.986
Route-065,4,49.128,6.176
Route-065,5,49.365,6.158
Route-065,6,49.670,5.833
Route-065,7,50.849,4.356
Route-065,8,48.828,2.370
Route-065,9,48.880,2.331
Route-066,0,49.613,6.148
Route-066,1,49.607,6.163
Route-066,2,49.488,5.978
Route-066,3,49.506,5.976
Route-066,4,49.120,6.179
Route-066,5,49.357,6.149
Route-066,6,49.682,5.840
Route-066,7,50.841,4.337
Route-066,8,48.868,2.363
Route-066,9,48.888,2.365
Route-067,0,49.607,6.114
Route-067,1,49.620,6.114
Route-067,2,49.505,5.977
Route-067,3,49.504,5.984
Route-067,4,49.114,6.172
Route-067,5,49.342,6.158
Route-067,6,49.686,5.816
Route-067,7,50.837,4.352
Route-067,8,48.867,2.361
Route-067,9,48.846,2.368
Route-068,0,49.618,6.152
Route-068,1,49.596,6.115
Route-068,2,49.505,5.972
Route-068,3,49.496,5.966
Route-068,4,49.103,6.177
Route-068,5,49.371,6.175
Route-068,6,49.674,5.819
Route-068,7,50.833,4.336
Route-068,8,48.863,2.367
Route-068,9,48.830,2.332
Route-069,0,49.625,6.119
Route-069,1,49.606,6.131
Route-069,2,49.503,5.973
Route-069,3,49.487,5.974
Route-069,4,49.117,6.186
Route-069,5,49.352,6.168
Route-069,6,49.681,5.825
Route-069,7,50.857,4.333
Route-069,8,48.876,2.378
Route-069,9,48.855,2.303
Route-070,0,49.621,6.150
Route-070,1,49.593,6.135
Route-070,2,49.505,5.995
Route-070,3,49.492,5.993
Route-070,4,49.127,6.174
Route-070,5,49.358,6.191
Route-070,6,49.679,5.835
Route-070,7,50.852,4.373
Route-070,8,48.869,2.335
Route-070,9,48.877,2.341
Route-071,0,49.595,6.129
Route-071,1,49.623,6.152
Route-071,2,49.504,5.984
Route-071,3,49.502,5.971
Route-071,4,49.117,6.186
Route-071,5,49.371,6.181
Route-071,6,49.676,5.817
Route-071,7,50.850,4.378
Route-071,8,48.856,2.315
Route-071,9,48.849,2.354
Route-072,0,49.618,6.126
Route-072,1,49.623,6.137
Route-072,2,49.486,5.972
Route-072,3,49.498,5.974
Route-072,4,49.134,6.175
Route-072,5,49.351,6.174
Route-072,6,49.689,5.806
Route-072,7,50.853,4.356
Route-072,8,48.891,2.368
Route-072,9,48.866,2.344
Route-073,0,49.610,6.107
Route-073,1,49.598,6.133
Route-073,2,49.489,5.988
Route-073,3,49.492,5.993
Route-073,4,49.118,6.150
Route-073,5,49.352,6.190
Route-073,6,49.693,5.797
Route-073,7,50.839,4.338
Route-073,8,48.886,2.363
Route-073,9,48.840,2.327
Route-074,0,49.596,6.118
Route-074,1,49.609,6.158
Route-074,2,49.487,5.975
Route-074,3,49.497,5.984
Route-074,4,49.109,6.198
Route-074,5,49.362,6.149
Route-074,6,49.679,5.835
Route-074,7,50.839,4.338
Route-074,8,48.871,2.401
Route-074,9,48.870,2.350
Route-075,0,49.597,6.156
Route-075,1,49.600,6.117
Route-075,2,49.505,5.972
Route-075,3,49.505,5.977
Route-075,4,49.121,6.195
Route-075,5,49.353,6.178
Route-075,6,49.695,5.820
Route-075,7,50.848,4.372
Route-075,8,48.890,2.353
Route-075,9,48.883,2.340
Route-076,0,49.612,6.157
Route-076,1,49.633,6.124
Route-076,2,49.502,5.971
Route-076,3,49.489,5.989
Route-076,4,49.116,6.160
Route-076,5,49.354,6.189
Route-076,6,49.669,5.814
Route-076,7,50.834,4.362
Route-076,8,48.882,2.386
Route-076,9,48.847,2.383
Route-077,0,49.596,6.118
Route-077,1,49.615,6.143
Route-077,2,49.505,5.977
Route-077,3,49.506,5.987
Route-077,4,49.133,6.189
Route-077,5,49.362,6.149
Route-077,6,49.680,5.802
Route-077,7,50.851,4.350
Route-077,8,48.850,2.309
Route-077,9,48.840,2.327
Route-078,0,49.627,6.121
Route-078,1,49.602,6.153
Route-078,2,49.503,5.973
Route-078,3,49.503,5.985
Route-078,4,49.109,6.192
Route-078,5,49.357,6.191
Route-078,6,49.698,5.826
Route-078,7,50.843,4.337
Route-078,8,48.835,2.311
Route-078,9,48.868,2.363
Route-079,0,49.606,6.131
Route-079,1,49.618,6.152
Route-079,2,49.497,5.966
Route-079,3,49.498,5.994
Route-079,4,49.109,6.192
Route-079,5,49.363,6.179
Route-079,6,49.677,5.794
Route-079,7,50.833,4.336
Route-079,8,48.874,2.349
Route-079,9,48.890,2.353
Route-080,0,49.606,6.131
Route-080,1,49.618,6.125
Route-080,2,49.487,5.973
Route-080,3,49.494,5.963
Route-080,4,49.114,6.192
Route-080,5,49.342,6.158
Route-080,6,49.698,5.826
Route-080,7,50.861,4.369
Route-080,8,48.845,2.339
Route-080,9,48.875,2.399
Route-081,0,49.603,6.144
Route-081,1,49.618,6.127
Route-081,2,49.500,5.993
Route-081,3,49.495,5.971
Route-081,4,49.127,6.162
Route-081,5,49.348,6.184
Route-081,6,49.680,5.839
Route-081,7,50.851,4.350
Route-081,8,48.891,2.368
Route-081,9,48.843,2.363
Route-082,0,49.594,6.144
Route-082,1,49.601,6.151
Route-082,2,49.500,5.967
Route-082,3,49.486,5.972
Route-082,4,49.114,6.172
Route-082,5,49.344,6.159
Route-082,6,49.685,5.798
Route-082,7,50.849,4.328
Route-082,8,48.865,2.315
Route-082,9,48.839,2.382
Route-083,0,49.594,6.145
Route-083,1,49.623,6.151
Route-083,2,49.501,5.988
Route-083,3,49.497,5.966
Route-083,4,49.129,6.165
Route-083,5,49.346,6.147
Route-083,6,49.689,5.806
Route-083,7,50.851,4.350
Route-083,8,48.846,2.332
Route-083,9,48.850,2.400
Route-084,0,49.625,6.119
Route-084,1,49.612,6.157
Route-084,2,49.503,5.985
Route-084,3,49.506,5.976
Route-084,4,49.137,6.174
Route-084,5,49.345,6.168
Route-084,6,49.700,5.818
Route-084,7,50.857,4.357
Route-084,8,48.866,2.391
Route-084,9,48.850,2.309
Route-085,0,49.593,6.135
Route-085,1,49.593,6.120
Route-085,2,49.487,5.974
Route-085,3,49.504,5.981
Route-085,4,49.126,6.175
Route-085,5,49.344,6.182
Route-085,6,49.669,5.824
Route-085,7,50.839,4.363
Route-085,8,48.850,2.400
Route-085,9,48.856,2.315
Route-086,0,49.609,6.158
Route-086,1,49.630,6.147
Route-086,2,49.487,5.974
Route-086,3,49.494,5.963
Route-086,4,49.114,6.172
Route-086,5,49.369,6.186
Route-086,6,49.679,5.835
Route-086,7,50.846,4.338
Route-086,8,48.847,2.354
Route-086,9,48.850,2.309
Route-087,0,49.630,6.119
Route-087,1,49.596,6.128
Route-087,2,49.498,5.980
Route-087,3,49.502,5.971
Route-087,4,49.126,6.169
Route-087,5,49.344,6.182
Route-087,6,49.677,5.794
Route-087,7,50.857,4.372
Route-087,8,48.865,2.315
Route-087,9,48.845,2.390
Route-088,0,49.616,6.109
Route-088,1,49.621,6.162
Route-088,2,49.495,5.973
Route-088,3,49.486,5.972
Route-088,4,49.126,6.175
Route-088,5,49.351,6.174
Route-088,6,49.686,5.804
Route-088,7,50.852,4.373
Route-088,8,48.874,2.349
Route-088,9,48.836,2.340
Route-089,0,49.613,6.110
Route-089,1,49.623,6.151
Route-089,2,49.488,5.978
Route-089,3,49.503,5.966
Route-089,4,49.105,6.163
Route-089,5,49.361,6.160
Route-089,6,49.686,5.816
Route-089,7,50.849,4.328
Route-089,8,48.861,2.368
Route-089,9,48.830,2.332
Route-090,0,49.600,6.117
Route-090,1,49.603,6.140
Route-090,2,49.504,5.981
Route-090,3,49.506,5.976
Route-090,4,49.110,6.154
Route-090,5,49.344,6.182
Route-090,6,49.674,5.819
Route-090,7,50.859,4.363
Route-090,8,48.831,2.338
Route-090,9,48.832,2.384
Route-091,0,49.603,6.145
Route-091,1,49.609,6.158
Route-091,2,49.500,5.999
Route-091,3,49.492,5.993
Route-091,4,49.109,6.169
Route-091,5,49.357,6.149
Route-091,6,49.679,5.809
Route-091,7,50.848,4.334
Route-091,8,48.863,2.405
Route-091,9,48.854,2.315
Route-092,0,49.593,6.150
Route-092,1,49.618,6.127
Route-092,2,49.506,5.976
Route-092,3,49.489,5.976
Route-092,4,49.110,6.154
Route-092,5,49.351,6.174
Route-092,6,49.684,5.824
Route-092,7,50.861,4.342
Route-092,8,48.855,2.303
Route-092,9,48.850,2.309
Route-093,0,49.618,6.152
Route-093,1,49.615,6.143
Route-093,2,49.495,5.973
Route-093,3,49.505,5.972
Route-093,4,49.123,6.158
Route-093,5,49.345,6.168
Route-093,6,49.684,5.824
Route-093,7,50.846,4.349
Route-093,8,48.879,2.350
Route-093,9,48.875,2.399
